paper_id,title,topic,citations,year,cluster,arxiv_id
1,HiStream: Efficient High-Resolution Video Generation via Redundancy-Eliminated Streaming,,10,2025,16,2512.21338v1
2,Beyond Memorization: A Multi-Modal Ordinal Regression Benchmark to Expose Popularity Bias in Vision-Language Models,,10,2025,12,2512.21337v1
3,Optimizing Decoding Paths in Masked Diffusion Models by Quantifying Uncertainty,,10,2025,11,2512.21336v1
4,Autonomous Uncertainty Quantification for Computational Point-of-care Sensors,,10,2025,10,2512.21335v1
5,Streaming Video Instruction Tuning,,10,2025,16,2512.21334v1
6,Fast SAM2 with Text-Driven Token Pruning,,10,2025,16,2512.21333v1
7,C2LLM Technical Report: A New Frontier in Code Retrieval via Adaptive Cross-Attention Pooling,,10,2025,17,2512.21332v1
8,TICON: A Slide-Level Tile Contextualizer for Histopathology Representation Learning,Topic 2,10,2025,2,2512.21331v1
9,Your Reasoning Benchmark May Not Test Reasoning: Revealing Perception Bottleneck in Abstract Reasoning Benchmarks,,10,2025,15,2512.21329v1
10,Measuring all the noises of LLM Evals,,10,2025,5,2512.21326v1
11,Towards Practical Automatic Piano Reduction using BERT with Semi-supervised Learning,Topic 3,10,2025,3,2512.21324v1
12,Parallel Token Prediction for Language Models,Topic 2,11,2025,2,2512.21323v1
13,An Allele-Centric Pan-Graph-Matrix Representation for Scalable Pangenome Analysis,,12,2025,8,2512.21320v1
14,Variationally correct operator learning: Reduced basis neural operator with a posteriori error estimation,,13,2025,10,2512.21319v1
15,"Scaling Laws for Economic Productivity: Experimental Evidence in LLM-Assisted Consulting, Data Analyst, and Management Tasks",,14,2025,5,2512.21316v1
16,Does the Data Processing Inequality Reflect Practice? On the Utility of Low-Level Tasks,Topic 3,15,2025,3,2512.21315v1
17,Learning to Solve PDEs on Neural Shape Representations,,16,2025,10,2512.21311v1
18,A Plan Reuse Mechanism for LLM-Driven Agent,,17,2025,5,2512.21309v1
19,A Note on Publicly Verifiable Quantum Money with Low Quantum Computational Resources,,18,2025,7,2512.21304v1
20,AndroidLens: Long-latency Evaluation with Nested Sub-targets for Android GUI Agents,Topic 0,19,2025,0,2512.21302v1
21,Transcriptome-Conditioned Personalized De Novo Drug Generation for AML Using Metaheuristic Assembly and Target-Driven Filtering,,20,2025,14,2512.21301v1
22,Quadrupped-Legged Robot Movement Plan Generation using Large Language Model,,21,2025,5,2512.21293v1
23,Model Merging via Multi-Teacher Knowledge Distillation,Topic 3,22,2025,3,2512.21288v1
24,Post-Processing Mask-Based Table Segmentation for Structural Coordinate Extraction,,23,2025,9,2512.21287v1
25,Surgical Scene Segmentation using a Spike-Driven Video Transformer with Real-Time Potential,,24,2025,16,2512.21284v1
26,"SMART SLM: Structured Memory and Reasoning Transformer, A Small Language Model for Accurate Document Assistance",Topic 2,25,2025,2,2512.21280v1
27,GriDiT: Factorized Grid-Based Diffusion for Efficient Long Image Sequence Generation,,26,2025,11,2512.21276v1
28,ACD: Direct Conditional Control for Video Diffusion Models via Attention Supervision,,27,2025,16,2512.21268v1
29,AnyAD: Unified Any-Modality Anomaly Detection in Incomplete Multi-Sequence MRI,,28,2025,9,2512.21264v1
30,ReaSeq: Unleashing World Knowledge via Reasoning for Sequential Modeling,,29,2025,15,2512.21257v1
31,DreaMontage: Arbitrary Frame-Guided One-Shot Video Generation,,30,2025,16,2512.21252v1
32,Uncertainty in security: managing cyber senescence,,31,2025,14,2512.21251v1
33,CoTDeceptor:Adversarial Code Obfuscation Against CoT-Enhanced LLM Code Agents,,32,2025,17,2512.21250v1
34,Industrial Ouroboros: Deep Lateral Movement via Living Off the Plant,,33,2025,10,2512.21248v1
35,Learning Factors in AI-Augmented Education: A Comparative Study of Middle and High School Students,,34,2025,18,2512.21246v1
